Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,48.3,-107.32,-90.0,top
C2,10uF,C_0603_1608Metric,45.042,-107.271,180.0,top
C3,100nF,C_0402_1005Metric,45.042,-106.001,180.0,top
C4,1uF,C_0402_1005Metric,74.8,-140.6,180.0,top
C5,1uF,C_0402_1005Metric,74.8,-142.5,180.0,top
C6,10uF,C_0603_1608Metric,74.1,-134.8,180.0,top
C7,10uF,C_0603_1608Metric,71.4,-136.7,90.0,top
C8,1uF,C_0402_1005Metric,71.3,-143.7,-90.0,top
C9,1uF,C_0402_1005Metric,71.3,-145.732,-90.0,top
C10,100nF,C_0402_1005Metric,63.2,-131.7,90.0,top
C11,1uF,C_0402_1005Metric,47.244,-114.757,180.0,top
C12,1uF,C_0402_1005Metric,47.244,-111.557,180.0,top
C15,100nF,C_0402_1005Metric,70.6,-98.9,90.0,top
C16,100nF,C_0402_1005Metric,127.719,-116.415,0.0,top
C17,10uF,C_0603_1608Metric,127.084,-111.538,180.0,top
C18,100nF,C_0402_1005Metric,126.449,-112.935,180.0,top
C19,100nF,C_0402_1005Metric,113.75,-53.83,0.0,top
C20,100nF,C_0402_1005Metric,113.75,-72.83,0.0,top
C21,100nF,C_0402_1005Metric,113.75,-91.83,0.0,top
C22,100nF,C_0402_1005Metric,113.75,-110.83,0.0,top
C23,100nF,C_0402_1005Metric,104.25,-129.829999,0.0,top
C24,100nF,C_0402_1005Metric,94.75,-53.83,0.0,top
C25,100nF,C_0402_1005Metric,94.75,-72.83,0.0,top
C26,100nF,C_0402_1005Metric,94.75,-91.83,0.0,top
C27,100nF,C_0402_1005Metric,94.75,-110.83,0.0,top
C28,100nF,C_0402_1005Metric,75.75,-53.83,0.0,top
C29,100nF,C_0402_1005Metric,75.75,-72.83,0.0,top
C30,100nF,C_0402_1005Metric,75.75,-91.83,0.0,top
C31,100nF,C_0402_1005Metric,75.75,-110.83,0.0,top
C32,100nF,C_0402_1005Metric,75.75,-129.829999,0.0,top
C33,100nF,C_0402_1005Metric,56.75,-53.83,0.0,top
C34,100nF,C_0402_1005Metric,56.75,-82.33,0.0,top
C35,100nF,C_0402_1005Metric,56.75,-120.33,0.0,top
C36,100nF,C_0402_1005Metric,96.5,-147.5,-90.0,top
C37,100nF,C_0402_1005Metric,104.6,-147.5,-90.0,top
C38,100nF,C_0402_1005Metric,80.6,-147.5,-90.0,top
C39,100nF,C_0402_1005Metric,88.5,-147.6,-90.0,top
D1,SK6812 Mini-E,SK6812-MINI-E,109.0,-128.834999,0.0,top
D2,SK6812 Mini-E,SK6812-MINI-E,80.5,-128.834999,0.0,top
D3,SK6812 Mini-E,SK6812-MINI-E,118.5,-109.835,0.0,top
D4,SK6812 Mini-E,SK6812-MINI-E,99.5,-109.835,0.0,top
D5,SK6812 Mini-E,SK6812-MINI-E,80.5,-109.835,0.0,top
D6,SK6812 Mini-E,SK6812-MINI-E,61.5,-119.335,0.0,top
D7,SK6812 Mini-E,SK6812-MINI-E,118.5,-90.835,0.0,top
D8,SK6812 Mini-E,SK6812-MINI-E,99.5,-90.835,0.0,top
D9,SK6812 Mini-E,SK6812-MINI-E,80.5,-90.835,0.0,top
D10,SK6812 Mini-E,SK6812-MINI-E,118.5,-71.835,0.0,top
D11,SK6812 Mini-E,SK6812-MINI-E,99.5,-71.835,0.0,top
D12,SK6812 Mini-E,SK6812-MINI-E,80.5,-71.835,0.0,top
D13,SK6812 Mini-E,SK6812-MINI-E,61.5,-81.335,0.0,top
D14,SK6812 Mini-E,SK6812-MINI-E,118.5,-52.835,0.0,top
D15,SK6812 Mini-E,SK6812-MINI-E,99.5,-52.835,0.0,top
D16,SK6812 Mini-E,SK6812-MINI-E,80.5,-52.835,0.0,top
D17,SK6812 Mini-E,SK6812-MINI-E,61.5,-52.835,0.0,top
D18,1N5819WS,D_SOD-323,71.1,-101.75,90.0,top
D19,1N5819WS,D_SOD-323,127.2,-119.9,90.0,top
D20,Red LED,LED_0603_1608Metric,46.3,-118.2,90.0,top
D21,1N4148WS,D_SOD-323,103.25,-124.0,-90.0,top
D22,1N4148WS,D_SOD-323,74.75,-124.0,-90.0,top
D23,1N4148WS,D_SOD-323,112.75,-105.0,-90.0,top
D24,1N4148WS,D_SOD-323,93.75,-105.0,-90.0,top
D25,1N4148WS,D_SOD-323,74.75,-105.0,-90.0,top
D26,1N4148WS,D_SOD-323,55.75,-114.5,-90.0,top
D27,1N4148WS,D_SOD-323,112.75,-86.0,-90.0,top
D28,1N4148WS,D_SOD-323,93.75,-86.0,-90.0,top
D29,1N4148WS,D_SOD-323,74.75,-86.0,-90.0,top
D30,1N4148WS,D_SOD-323,112.75,-67.0,-90.0,top
D31,1N4148WS,D_SOD-323,93.75,-67.0,-90.0,top
D32,1N4148WS,D_SOD-323,74.75,-67.0,-90.0,top
D33,1N4148WS,D_SOD-323,55.75,-76.5,-90.0,top
D34,1N4148WS,D_SOD-323,112.75,-48.0,-90.0,top
D35,1N4148WS,D_SOD-323,93.75,-48.0,-90.0,top
D36,1N4148WS,D_SOD-323,74.75,-48.0,-90.0,top
D37,1N4148WS,D_SOD-323,55.75,-48.0,-90.0,top
D38,SK6812 Mini-E,SK6812-MINI-E,78.0,-150.245,180.0,top
D39,SK6812 Mini-E,SK6812-MINI-E,86.0,-150.245,180.0,top
D40,SK6812 Mini-E,SK6812-MINI-E,94.0,-150.245,180.0,top
D41,SK6812 Mini-E,SK6812-MINI-E,102.0,-150.245,180.0,top
J1,USB_C_Receptacle_USB2.0,GT-USB-7090x,68.4,-93.75,0.0,top
J2,USB_C_Receptacle_USB2.0,GT-USB-7090x,132.672,-114.698,90.0,top
J3,Conn_02x10_Odd_Even,IDC-Header_2x10_P2.54mm_Vertical,133.5475,-68.63,180.0,top
J4,Conn_02x10_Odd_Even,IDC-Header_2x10_P2.54mm_Vertical,48.4321,-66.1484,0.0,top
J6,Conn_02x03_Odd_Even,PinSocket_2x03_P2.54mm_Vertical,109.073,-139.304,0.0,top
Q1,S8050,SOT-23,122.2095,-123.55,180.0,top
Q2,S8050,SOT-23,122.2,-127.55,180.0,top
R1,10k,R_0402_1005Metric,47.284,-107.322,90.0,top
R2,4.7k,R_0402_1005Metric,58.9,-125.5,90.0,top
R3,4.7k,R_0402_1005Metric,60.4,-125.5,90.0,top
R4,10k,R_0402_1005Metric,124.9,-122.8,-90.0,top
R5,10k,R_0402_1005Metric,124.9,-126.8,-90.0,top
R6,0,R_0402_1005Metric,119.172,-123.558,0.0,top
R7,0,R_0402_1005Metric,119.1,-127.6,0.0,top
R8,5.1k,R_0402_1005Metric,65.741,-89.856,180.0,top
R9,5.1k,R_0402_1005Metric,72.218,-97.603,0.0,top
R10,5.1k,R_0402_1005Metric,128.1,-117.558,180.0,top
R11,5.1k,R_0402_1005Metric,136.548,-111.284,90.0,top
R12,5.1k,R_0402_1005Metric,48.2,-117.2,0.0,top
R13,22.1k,R_0402_1005Metric,129.15,-107.652,180.0,top
R14,47.5k,R_0402_1005Metric,127.15,-107.652,180.0,top
R15,1k,R_0402_1005Metric,123.113,-110.906,90.0,top
R16,470,R_0402_1005Metric,73.09,-149.2,0.0,top
R17,10k,R_0402_1005Metric,68.605,-140.51,90.0,top
R18,390k,R_0603_1608Metric,69.7,-134.9,90.0,top
SW1,KP0,Kailh_socket_MX_platemount,109.0,-124.0,180.0,top
SW2,KP_Dot,Kailh_socket_MX_platemount,80.5,-124.0,180.0,top
SW3,KP1,Kailh_socket_MX_platemount,118.5,-105.0,180.0,top
SW4,KP2,Kailh_socket_MX_platemount,99.5,-105.0,180.0,top
SW5,KP3,Kailh_socket_MX_platemount,80.5,-105.0,180.0,top
SW6,KP_Enter,Kailh_socket_MX_platemount,61.5,-114.5,180.0,top
SW7,KP4,Kailh_socket_MX_platemount,118.5,-86.0,180.0,top
SW8,KP5,Kailh_socket_MX_platemount,99.5,-86.0,180.0,top
SW9,KP6,Kailh_socket_MX_platemount,80.5,-86.0,180.0,top
SW10,KP7,Kailh_socket_MX_platemount,118.5,-67.0,180.0,top
SW11,KP8,Kailh_socket_MX_platemount,99.5,-67.0,180.0,top
SW12,KP9,Kailh_socket_MX_platemount,80.5,-67.0,180.0,top
SW13,KP_Plus,Kailh_socket_MX_platemount,61.5,-76.5,180.0,top
SW14,KP_Extra,Kailh_socket_MX_platemount,118.5,-48.0,180.0,top
SW15,KP_Divide,Kailh_socket_MX_platemount,99.5,-48.0,180.0,top
SW16,KP_Multiply,Kailh_socket_MX_platemount,80.5,-48.0,180.0,top
SW17,KP_Subtract,Kailh_socket_MX_platemount,61.5,-48.0,180.0,top
SW18,Boot,SW_Push_1P1T_XKB_TS-1187A,133.8,-90.725,180.0,top
SW19,Reset,SW_Push_1P1T_XKB_TS-1187A,133.7,-98.775,0.0,top
U1,ESP32-S3-WROOM-1-N16R8,ESP32-S3-WROOM-1,52.75,-95.5,90.0,top
U2,SSD1306_I2C,SSD1306_OLED-0.91-128x32_Folded,90.0,-139.75,180.0,top
U3,74AHCT1G125,SOT-353_SC-70-5,61.044,-131.02,-90.0,top
U4,NCP167BMX330TBG,OnSemi_XDFN4-1EP_1.0x1.0mm_EP0.52x0.52mm,47.244,-113.157,-90.0,top
U5,USBLC6-2P6,SOT-666,68.281,-99.3048,-90.0,top
U6,USBLC6-2P6,SOT-666,127.592,-114.7425,180.0,top
U7,CP2102N-Axx-xQFN24,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,122.821,-114.728,180.0,top
